Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
30,,TEST_1P,J11,Vbus,Measurement_Point_Square-SMD-Pad_Small,1,
31,"Solder Jumper, 2-pole, open",SolderJumper_2_Open,JP2,UART Reset,GS2,1,~
32,,INDUCTOR_SMALL,L1,10uH,L_0603,1,
33,,SDCard,P1,SDCard,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,
34,,MMBT3904,Q2,MMBT3904,SOT-23,1,
35,,MMBT3906,Q1 Q3,MMBT3906,SOT-23,2,
36,,R-RESCUE-proto1,R1 R2 R3 R10 R14 R16 R17 R18 R19 R21 R22 R23 R25 R28 R29 R31 R32 R33 R35 R37 R38 R39 R42,10K,R_0603,23,
37,,R-RESCUE-proto1,R4 R13 R54 R55 R56 R57,18,R_0603,6,
38,,R-RESCUE-proto1,R5 R11 R27 R36 R47,1K,R_0603,5,
39,,R,R51,1K,R_0603,1,
40,,R-RESCUE-proto1,R24 R34 R45,1M,R_0603,3,
41,,R-RESCUE-proto1,R6 R7 R8 R9 R49,200,R_0603,5,
42,,R,R58,200,R_0603,1,
43,,R-RESCUE-proto1,R20 R30 R40 R46 R50,200K,R_0603,5,
44,,R-RESCUE-proto1,R12 R15 R26 R41 R43 R44 R52 R53,5K1,R_0603,8,
45,,R,R48,5K1,R_0603,1,
46,,Logos,S3,ESD-Logo,ESD-Logo_6.6x6mm_SilkScreen,1,
47,,Logos,S10,FOSSASIA_Logo_L,FOSSASIA_LogoL,1,
48,,Logos,S6,FOSSASIA_Logo_S,FOSSASIA_Logo,1,
49,,Logos,S1,OpenHardware,OSHW-Logo_5.7x6mm_SilkScreen,1,
50,,Logos,S5 S8,OpnTec_Logo,OpnTec_Logo,2,
51,,Logos,S7,PSL_Logo,PSL_Logo,1,
52,,Logos,S4,PSLabDotIO_B,PSLabDotIO4000,1,
53,,Logos,S2,PSLab_Logo,PSLabDotIO,1,
54,,Logos,S9,QR_Code,Website_QR,1,
55,,MCP6S21A,U11 U12,6S21,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,DOCUMENTATION
56,,74HC126,U2,74HC126,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,_
57,,7660,U5,7660,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,DOCUMENTATION
58,,CP2102,U14,CP2102,QFN-24-1EP_4x4mm_Pitch0.5mm,1,
59,"64 x 8, Serial, I2C Real-time clock, 4.5V to 5.5V VCC, 0°C to +70°C, SOIC-8",DS1307Z+,U6,DS1307Z+,SOIC-8_3.9x4.9mm_P1.27mm,1,https://datasheets.maximintegrated.com/en/ds/DS1307.pdf
60,,ESP8266,U15,ESP8266,Hopref_RFM9XW_SMD,1,_
61,,LDFM33PVR,U1,LDFM33PVR,DFN-6-1EP_3x3mm_Pitch0.95mm,1,https://www.mouser.com/datasheet/2/389/ldfm-974225.pdf
62,,LM324-RESCUE-proto1,U7,LM324,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,
63,,MCP4728-RESCUE-PSLab,U9,MCP4728,MSOP-10_3x3mm_Pitch0.5mm,1,_
64,,PIC24EP256GP204,U3,PIC24EP256GP204,TQFP-44_10x10mm_Pitch0.8mm,1,http://www.microchip.com/wwwproducts/en/PIC24EP256GP204
65,,SP0503BAHT,U17,SP0503BAHT,SOT-143,1,
66,,TC1240A,U4,TC1240A,SOT-23-6,1,DOCUMENTATION
67,,TL082-RESCUE-proto1,U8 U10 U13 U16,TL082,SOIC-8_3.9x4.9mm_Pitch1.27mm,4,
68,,Crystal,X1,12MHz,Crystal_SMD_5032-2pin_5.0x3.2mm,1,
69,"Two pin crystal, small symbol",Crystal_Small,Y1,32.768 kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,~





Component Groups:,69
Component Count:,156
Fitted Components:,156
Number of PCBs:,1
Total components:,156
Schematic Version:,v6
Schematic Date:,2019-03-03
BoM Date:,Tue 16 Apr 2019 07:34:10 +0530
Schematic Source:,/home/knight/Documents/FOSSASIA/PSLab/pslab-hardware/schematics/PSLab.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu16.04.1
